	Job Category																														
Business Development Executive	IT-Software / Software Services	"Sales, Retail, Business Development"	Retail Sales	Sales Executive/Officer	"Keyskills
Business Development
IT Software - Middleware
Corporate Sales
Retail Sales
Direct Marketing
sales executive"	"1. Identifies business opportunities by identifying prospects and evaluating their position in the industry
2. Sells products by establishing contact and developing relationships with prospects; recommending solutions
3. Maintains relationships with clients by providing support visits, information, and guidance.
4. Prepares reports by collecting, analyzing, and summarizing information.
5. Contributes to team effort by accomplishing related results as needed.
6. Payment recovery from customers.
7. Product installation, maintenance at client side if necessary."	0-5 years	Business Development Executive	Match																						
Principal Architect Opening with Leading Product Company in Bangalore	Solution Architect / Enterprise Architect	System Design/Implementation/ERP/CRM	"IT Software - Application Programming, Maintenance"	IT-Software / Software Services	"Keyskills
JMeter
Load Runner
SOAP UI
Server Architecture
IT Software - Middleware
sitecore"	"Performance Architect.
Exp: 15+ Yrs
Should worked on various server architecture. Exp in Load runner, Soap UI, J meter is must.
Middleware. is must.
Load balancing is must.
Should have worked on monitoring tool like Site core."	15-20 years	Principal Architect Opening with Leading Product Company in Bangalore	Match																						
"Sales Manager (IT Infrastructure, Cloud,& Security Services)"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Team Lead/Technical Lead	"Keyskills
Corporate Sales
Business Development
inside sales
lead generation
international sales
presales
cold calling
software sales
international marketing
it sales
solution sales
information technology sales
it hardware sales"	"Overall 8+ years experience, with Proven Track Record in Sales and in Having Sound Experience in Driving Deals from US/Europe Market
At least 2-4 years experience in Selling Managed, Optimization and Integration Services to Customers at C Level (Executives) in an Organization is a Prerequisite
Candidate should have an experience in Solution selling i.e IT Infrastructure, Cloud,& Security Services
Candidate should have developed new accounts and managed existing accounts
Capability to translate the customer business issues in to IT Infrastructure requirements
Engage with the customer, identify triggers, Identify key IT issues which impact the business and make recommendations to customer.
Build and develop the business case, provide relevant and sound business & technical advice to the customer.
Work with the consultants to understand the potential solutions, formulate a winning strategy.
A good conceptual knowledge on IT Infrastructure (Server/Storage / Network /Middleware/ Security/ Virtualization/ System Admin etc. & IT Service Management)
High degree of commitment and goal orientations is a must
Should have a great attitude towards work and must be willing to adjust with the demands of a high pressure job
English must be Fluent (Strong Communication and Presentation skills)"	8-13 years	"Sales Manager (IT Infrastructure, Cloud,& Security Services) US Market"	Match																						
System Administrator	Internet / Ecommerce	IT Software - Mobile	Admin/Maintenance/Security/Datawarehousing	System Administrator	"Keyskills
Blackberry
Android
IOS
Mobile Applications
Windows Phone
Hardware Networking
System Administration
Software Licensing
System Administrator
Desired Candidate Profile
        Experience in Linux server administration and management.
        Good knowledge of networking, LAN management, leased line handling, IP routing etc.
        Experience with Amazon Web Services and management of cluster and deployments on a very large scale.
        Hands-on experience on a UTM device is a plus.
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization"	"We are looking for experienced system administrators who can help us create the best cricket product.
Responsibilities
    Manage servers, desktop computers, printers, routers, switches, firewalls, and phones.
    Install, configure and update software.
    Manage software licensing, installations, hardware and network configurations.
    Monitor performance and optimize it.
    Maintain anti-virus and anti-spam infrastructure.
    Detect and fix of security vulnerability and loopholes."	2-4 years	System Administrator	Match		IT Software - Mobile																				
Windows Mobile Architect Professionals	IT-Software / Software Services	IT Software - Mobile	Programming & Design	Technical Architect	"Keyskills:
Hardware Networking
Windows Mobile
System Software
Quality Operations
Technical Architecture
Mobile Architecture
storage
encryption
TSL
OWSSP
Objective C
Swift
Android
JavaScript
Java
J2EE
Node.js
Angular JS / React
Desired Candidate Profile
MUST HAVE SKILLS: Mobile Architecture
JOB REQUIREMENTS:
1. 8+ years of experience in designing and architecting complex application (MVC / Widgets / local storage, encryption, TSL, OWSSP, offline-online sync modules) solutions across various platforms like iOS, Android,
2. Hybrids Adept in architecting, estimating and Solutioning for Mobility domain.
3. Hands on work experience in the following areas: Technology architecture, blueprints, sale, Integration platforms, methods and related technologies
4. Programming Knowledge: Objective C, Swift, Android, JavaScript, Java, J2EE, Node.js, Angular JS/React JS, C++, .NET
5. Good exposure to any of other mobility related technologies: RFID, Bluetooth LE, ZigBee
6. Have skills and experience in at least one of the following areas: IT Security & Privacy, Big Data, Analytics and streaming/real time analytics.
Basic qualifications:
Graduation in any discipline ."	"ROLE DESCRIPTION:
1. Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements.
2. Review and integrate the technical architecture requirements.
3. Provide input into final decisions regarding hardware, network products, system software and security"	8-10 years	Windows Mobile Architect Professionals	Match																						
Developements Engineer	Internet / Ecommerce	IT Software - Mobile	Programming & Design	Software Developer	"Keyskills
Android
Blackberry
IOS
Mobile Applications
Windows Phone
Software Engineering
Front End
SQL
MySQL
NoSQL
Perl
Bash
Python
Ansible
Puppet
Chef
Linux Administration
Linux
Desired Candidate Profile
        Experience in Linux Administration in production environments.
        Strong understanding of current network protocols, architecture, and design.
        Experience with automation/configuration management using either Ansible, Puppet, Chef or an equivalent.
        Experience with Amazon Web Services and management of cluster and deployments on a very large scale.
        Experience with various monitoring tools and concepts.
        Experience with SQL and MySQL. NoSQL experience is a plus.
        Knowledge in scripting languages like Perl, Bash, Python etc.
        Knowledge of best practices and IT operations.
        Excellent verbal and written communication skills.
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization"	"We are looking for experienced front-end developers who can help us create the best cricket product.
Responsibilities
    Work collaboratively with software engineering team to deploy and operate systems.
    Help automate and streamline operations and processes.
    Build and maintain tools for deployment, monitoring and operations.
    Troubleshoot and resolve issues in development, test and production environments."	2-4 years	Devops Engineer	Match																						
Software Development and Test Engineering	Telecom/ISP	IT Software - Mobile	Programming & Design	Testing Engineer	"Keyskills:
Wireless Modem
Linux OS
Systems Programming
Android Architecture
Real time OS Development
Device Driver Development
UI Design
Windows Mobile Development
Desired Candidate Profile
Education Requirements Required: Bachelor's, Computer Engineering and/or Computer Science and/or Electrical Engineering and/or Electronics & Satellites Eng
Preferred: Masters
Education:UG -B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication, B.Sc - Computers, BCA - Computers"	"We have multiple positions across embedded software development and test in Modem, Multimedia, Linus, Tools, Systems, Customer Engineering, BSP, Security.
Opportunities in the areas of:
Wireless Modem Software Development &Test
Systems Programming
Linux OS Development &Test
Real time OS Development &Test
Android Architecture &Test
Device Driver Development &Test
Multimedia Applications &Test
Object Oriented and UI Design &Test
Windows Mobile Development &Test
Radio Chipset Software Development &Test"	1-5 years	"Software Development and Test- 2014, 2015 & 2016 Engineering Graduates"	Match																						
Software Engineer II - Mobile ( iOS)	Internet / Ecommerce	IT Software - Mobile	Programming & Design	Software Developer	"Keyskills
Software Engineer
design
iOS
Objective C
Cocoa framework
iOS development
Multithreading
coding
Git
Desired Candidate Profile
    Qualifications:
    -Good understanding of Objective C, Cocoa framework, Core Data, AutoLayout, UIKit, Xcode & iOS applications.
    -3+ years of industry experience
    -2+ years of relevant experience in iOS development.
    -Proven hands on experience working with table views, scroll views, delegates, notifications, NSOperations, GCD.
    -Extensive mobile development experience with iOS Proficiency in Objective-C.
    -More than one application developed end to end for iPhone
    -Experience in writing unit and functional tests.
    -Experience in usage of Instruments to detect memory leaks and for performance optimisation.
    -Solid understanding of memory management with and without ARC
    -Knowledge of iOS networking and Multithreading.
    -Strong sense of good Application UI Design.
    -In depth understanding of Apple recommended guidelines and best practices for coding.
    -Knowledge of software development best practices including continuous integration, development of high quality code, reusable toolkits and libraries.
    -Understanding of prevailing architecture/technology concept.
    -Knowledge about Git.
    -Able to fit in well within an informal environment.
    -High energy level and untiring commitment to drive oneself & the team towards goals. 
Education-
UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization"	"You will be responsible for developing iOS apps which changes the way parking industry operates. You will design, develop, and implement new ideas and products from scratch. You will be interfacing with the server side engineering team to scale out our apps across thousands of users.
Expectations:
-You will be involved in all aspects of development playing a critical role in design, planning, development and submission of our iOS apps.
-Deliver across the entire app life cycle, design, build, deploy, test, release to app stores and support
-Working directly with developers and product managers to conceptualise, build, test and realise products/features.
-Optimising performance for the app and keeping it up to date with latest industry standards.
-Continuously discover, evaluate, and implement new technologies to maximise development efficiency."	3-6 years	Software Engineer II - Mobile ( iOS)	Match																						
IOS Developer (software Engineer/ Senior Software Engineer)	IT-Software / Software Services	IT Software - Mobile	Programming & Design	Software Developer	"Keyskills
IOS
Cocoa Touch
Core Data
Swift
Mobile Phones
Performance Tuning
Software Engineering
Problem Solving
react native"	"We are looking for an iOS developer responsible for the development and maintenance of applications aimed at a range of iOS devices including mobile phones and tablet computers. Your primary focus will be development of iOS applications and their integration with back-end services. You will be working alongside other engineers and developers working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and the creation of quality products is essential.
Responsibilities
Design and build applications for the iOS platform
Ensure the performance, quality, and responsiveness of applications
Collaborate with a team to define, design, and ship new features
Identify and correct bottlenecks and fix bugs
Help maintain code quality, organization, and automation
Skills
Proficient with Swift {{depending on project requirements}}, and Cocoa Touch
Should have some knowledge on some of latest trend on creating native progressive apps using some of technology like react-native etc
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Experience with offline storage, threading, and performance tuning
Familiarity with RESTful APIs to connect iOS applications to back-end services."	4-6 years	IOS Developer (software Engineer/ Senior Software Engineer)	Match																						
Software Engineer III - Mobile	Internet / Ecommerce	IT Software - Mobile	Programming & Design	Software Developer	"Keyskills
Software Engineer
iOS
Android
Data Structures
Algorithms
Java
Android SDK
Objective - C
design
UI Design
Desired Candidate Profile
    Qualifications
    -B.Tech/BE/MS/M.Tech in Computer Science, Engineering or a related subject
    -Strong in Data Structures and Algorithms.
    -5+ years of experience in Android or iOS development.
    -Experience in building applications that have been published on
    Playstore/AppStore.
    -Strong coding abilities and experience with Java, Android SDK or Objective-C, swift and iOS SDK.
    -Strong Object Oriented (OO) design and development experience
    -Experience interfacing with REST APIs.
    -Proficient with Git (or equivalent).
    -Experience with multi-threading, memory management, interactive application development paradigm under Android or iOS.
    -Experience in profiling Mobile Application for analysing and improving run-time efficiency and memory footprint.
    -Strong sense of good Application UI Design.
    -Knowledge of software development best practices including continuous integration, development of high quality code, reusable toolkits and libraries
    -Understanding of prevailing architecture/technology concepts.
    -Knowledge about Git. 
Education-
UG: B.Tech/B.E. - Computers
PG:MS/M.Sc(Science) - Computers, M.Tech - Computers"	"    You will be responsible for developing mobile apps which changes the way parking industry operates. You will design, develop, and implement new ideas and products from scratch. You will be interfacing with the server side engineering team to scale out our apps across thousands of users.
    Expectations:
    -This role will actively participate you to define and implement the product from scratch, own the entire development lifecycle.
    -Understanding of entire Mobile ecosystem iOS and Android and the ability to lead and mentor both Android and iOS teams.
    -Work with fellow designers and developers in an iterative environment with short and impactful development cycles.
    -Develop cutting edge functional modules that will be integrated across all our Android/iOS apps.
    -Brainstorm, contribute new ideas, conceive innovative strategies, and implement solutions to difficult problems
    -Exploit the most advanced Android/iOS APIs and platform features to build innovative applications.
    -Work closely with our backend team to interface with RESTful API services "	5-8 years	Software Engineer III - Mobile	Match																						
Automotive Architecture Engineer	Telecom/ISP	"IT Software - Embedded, EDA, VLSI, ASIC, Chip Design"	Admin/Maintenance/Security/Datawarehousing	Technical Support Engineer	"Keyskills:
Automotive Architecture Engineer
Automotive Architecture
software development
C++
programming
embedded programming
OTP
MPU
Mobile Operating System architecture
Android
Linux
Windows10
iOS
Symbian
QNX
Desired Candidate Profile
Minimum Qualifications
PhD Degree preferred with 3+yrs or Masters degree with 5+yrs years of industry experience required in one or more of the following areas:
ARM system, DSP and CPU architecture.
Developing access control SW infrastructure architectures for SoC solutions.
Hypervisor architecture (Intel, ARM, AMD, etc.)
Mobile Operating System architecture(s) (e.g., Android, Linux, Windows10, iOS, Symbian, QNX, etc.), virtualization technology, ARM's Memory system Architecture
Preferred Qualifications
Embedded software design. Strong software development skills, C and C++ programming, problem analysis, and debugging skills. Knowledge in real-time microprocessor-based embedded programming and embedded real-time operating systems. Solid understanding of computer system architecture (core, cache, memory models, bus architecture, etc.) and common hardware blocks for security access control (e.g., crypto acceleration, OTP, MPU, etc.). Ability to derive, document, and present high-level system requirements from the associated detailed technology requirements.
Education Requirements
Required: Bachelors Degree in Computer Engineering and/or Electrical Engineering
Preferred: Masters Degree in Computer Engineering and/or Electrical Engineering
LI-IND*
Education:UG -B.Tech/B.E. - Computers, Electrical
PG - M.Tech - Computers, Electrical
Doctorate - Ph.D"	"We are looking for Software Architects with expertise in CPUs, RTOS and Hypervisors to work with cross functional teams to architect a complete solution that optimizes hardware and software performance for future upcoming products. SW architects participate in a wide range of engineering activities across many functional teams. Responsibilities include gathering and distilling requirements from multiple sources, proposing architectural solutions, communicating architectures across various technology teams, and providing follow-up guidance as needed."	3-6 years	Automotive Architecture Engineer	Match																						
Android App Developer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
Android
IOS
Coca Touch
MAC OS
JSON
iPhone
iphone developer
android developer mobile app developer mobile app software engineer mobile app designer mobile developer developer mobile app programmer mobile app program
Desired Candidate Profile
    Development and maintenance of smart phone apps (IOS, & Android)
    Mac OS X and iOS
    Advanced applications for the Android / IOS / platform
    Xcode, Instruments, and Git.
    UIKit, and Core Data.
    Continuously discover new technologies 
Education-
UG: Any Graduate - Any Specialization"	"Development and maintenance of smart phone apps (IOS, & Android)
Mac OS X and iOS
Advanced applications for the Android / IOS / platform
Xcode, Instruments, and Git.
UIKit, and Core Data.
Continuously discover new technologies to maximize development"	1-3 years	Android App Developer	Match																						
Software Engineer I- Mobile Apps	IT-Software / Software Services	IT Software - Mobile	Programming & Design	Software Developer	"Keyskills
Software Engineering
Mobile Apps
database programming
Mobile application development
cloud computing
cloud infrastructure Project methodology
Desired Candidate Profile
    Essential Skills:
    2 to 4 Yrs of experience in cloud computing
    C.S. / IT Engineering / MCA degree
    Should have experience in cloud migration under different cloud infrastructure and data center
    The person should have experience on how communication protocol will be established which may be under different cloud platform, Ex: Public and private AWS, Azure & any other cloud system
    Understand the network connectivity
    Work with cross-functional teams to ensure that projects are built with quality
    Substantial networking abilities and activities
    Excellent written and oral communication, and strong presentation skills, are required.
    Ability to achieve success with minimal guidance, based upon objectives
    Desired Skills:
    Web and database programming and design
    Mobile application development experience
    Have worked with\ used online\cloud sales operations portals
    Open mindset and good communication skills (English (Business fluent),
    Willingness to learn and adapt fast to new technologies.
    Ability to work in cross functional project organization
    Summary: If you have been a successful programmer in cloud computing and worked with widely distributed teams while connecting well in various arenas and delivered the requirements on time, then you are a potential candidate. 
Education-
UG: B.Tech/B.E. - Computers, B.Sc - Computers, BCA - Computers
PG:MCA - Computers"	"Opportunity:
As Software Engineer, Bentley Institute, you will be part of the Technology Enablement group of Bentley Institute. It covers Bentley Developer Network (BDN), Bentley Institute Mobile app, Bentley Institute Legacy Technology Migration, Bentley Institute SharePoint Portals (internal and external).
You will be part of a team to develop a state of the art mobile app that will include various aspects of Bentley Institute (Academic, Research, Partners, etc.) to ensure continuous learning by our academic and commercial users around the world. This mobile app would be the first of its kind to embedded with cloud Technology and Connection center architecture.
Responsibilities:
Be part of team which is developing a new Bentley Institute Mobile app which connects with cloud and contribute by development at cloud end.
Contribute in all phases of the Project within the given deadline.
Write well designed and efficient code.
Prepare and produce releases of software components.
Ability to follow Project methodology
Coordinating with Platform developer/architects for development
Refining and maintaining the app, extracting the app data (user inputs) and analyzing them.
Prepare and produce releases of software components."	2-4 years	Software Engineer I- Mobile Apps	Match																						
Embedded Engineer - Mobile Platform - Rtos/c++/c	IT-Software / Software Services	"IT Software - Embedded, EDA, VLSI, ASIC, Chip Design"	Programming & Design	Software Developer	"Skills & Knowledge Profile
- B.Tech/M.Tech in Electronics Engineering with more than 8 years of relevant experience
- Working experience for developing drivers for at least one of the following mobile platforms : Android, Windows, Linux.
- Expert level of software development using C, C++ and some assembly and solid background in operating system internals, algorithms and data structures.
- Good understanding of software-hardware interfaces like i2c, SPI, DMA, interrupt, etc.
- Experience with power management for embedded systems
- Good understanding of software best practices, related tools and processes.
- Good communication skills and must be able to work in team environment
- Willingness to travel, both domestically and internationally (10-15% travel)
The following experience is highly desired :
- Experience in software-hardware co-design and silicon bring-up
- Experience with collaborations and contributions to open-source communities
- Working experience in sensor subsystems for mobile platforms.
Keyskills
C
C++
Data Structures
Firmware
RTOS
Linux
Embedded Systems
I2C
Bootloader
SPI
Android
Windows
Software Development
Desired Candidate Profile
      
Education-
UG: B.Tech/B.E. - Electronics/Telecommunication
PG:M.Tech - Electronics/Telecommunication"	"The Staff/Senior staff system software engineer is a key individual contributor position with primary responsibility of developing system software (RTOS, BSP, drivers, bootloader, etc) for organisation's ultra-low-power sensor-hub solutions on Android smart phones, wearable and other mobile platforms. Strong technical experience and problem solving ability, with can-do altitude and the ability to collaborate with algorithm engineers and hardware engineers, is required for success in this position.
- This position will own the system software (RTOS, BSP, drivers, bootloader, etc) for organisation's ultra-low-power sensor-hub products on smartphone and wearable platforms. He or she is responsible for all phases of development of system software: requirements, design, implementation, integration, testing and releasing, customer deployment and support
- He or she also owns the firmware support for silicon validation on emulation platforms as well as silicon bring-up and post silicon validation.
- Work closely with system hardware engineers, algorithm engineers and support application engineers for resolving field customer issues.
- This position may be involved in evaluate, select, and manage outside vendors and partners
- This position may work with open-source communities for integrations of Quicklogic's ultra-low-power sensor-hub system software, participate and support open source upstream projects."	11-14 years	Embedded Engineer - Mobile Platform - Rtos/c++/c	Match																						
Project Manager - (it-healthcare)	IT-Software / Software Services	IT Software - Other	Programming & Design	Product Manager	" Desired Experience and Related Skills:
    8+ years project/program management experience implementing technology solutions or applications-web and mobile applications preferred 
    At least 2 years of recent Healthcare industry experience (within the last 4 years)
    Experience managing at least 10 end-to-end software development or implementations with a minimum of 10 people assigned to each project
    Experience in developing and deploying project best practices, policies, procedures, and processes
    Possess influencing skills (leads by example, clearly articulates business cases and interpretation of cause-effect impact)
    Experience utilizing the complete Software Development Lifecycle; Agile experience is a plus
    Undergraduate degree in Computer Science, Business, Engineering, Information Science, Mathematics, or related field
    Ability to travel up to 25% of the time to US and Europe client locations
    Flexible communication and interpersonal skills to engage with all types of utility and technology personnel
    Solid logic, analytical skills, and organizational skills
    High ethics and values
    Positive motivator and team builder
    Exceptional customer facing skills, both verbal and written
    Self-starter, with strong sense of ownership, assertive follow-through, and a passion for the highest level of client satisfaction
Preferred / Highly Desirable:
    Project management experience implementing Healthcare technology with US clients like Population Health, Patient Mobile Solutions, Tele-health, EMR/EHR Solutions are highly desirable"	"We have a very urgent opening for Project Manager for our Healthcare Product Development company at Bangalore. Please find the details below:
Company : EOK Group of Companies (www.eoktechnologies.com ) (Product and US Based Company)
Role          :   Project Manager
Client        :   Healthcare (USA)
Exp           :   10-15 Years
Location  :   H.S.R Layout, Bangalore
Note : 
    Only Candidates with experience as Project Manager in Healthcare IT Industry are Prefered for this position - MANDATORY.
    Only Immediate or 15 days of notice period candidates."	8-13 years	Project Manager - (it-healthcare) - Bangalore	Match																						
Software Engineer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
Data structures
Algorithms
Agile
Computer science
Android SDK
Symantec
mobile security
Norton
Software
Business Executive"	"In Symantec's Norton group, we write software which is used by millions of people all over the world. We make the world a safer place, by defending our customers' computers and mobile devices against viruses, spyware, malware and other online threats. In the Norton Mobile Security Engineering team, we help protect our customers' mobile devices by providing innovative privacy protection, unsecure Wi-Fi detection, enhanced anti-theft features, critical web protection, and the most advanced Android app screener in the world. Check out our security app on Android .
We're looking for candidates who would contribute significantly to the above solutions, while having fun working with a team of talented engineers.
The candidate must bring the ability to efficiently develop high quality software. To this end:
You must have strong problem solving capabilities. Familiarity with the use of data structures, algorithms, and protocols to cleanly solve challenges. So if you have a Bachelors Degree in Computer Science or higher educational achievement, that would be a plus point.
The software is on the Android platform, so familiarity with Java is a must, and familiarity with the Android SDK is a plus point.
A minimum of 3 years experience in software development with success in roles with substantial responsibility and accountability.
The candidate must work in a distributed team that is spread across continents.
You'll need to interact with architects, directors and engineers from Pune as well as USA. So strong verbal and written communication skills is a must.
You ll need to participate in Code Reviews and have your code reviewed by team members, and ensure near 100% code coverage on the code you develop. Ensure automated testability of the code you write.
The team follows agile principles, so having prior experience working in agile would be an added plus."	3-6 years	Software Engineer	Match																						
Android Developer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
XCode
Objective C
IOS
Swift
Mobile Development
Software Development
Web Technologies
Consumer Products
Quality Engineering
Communication Skills"	"This is a hands-on developer position. The successful candidate has a strong technical ability, loves writing and debugging code, good communication skills, and likes working on consumer products.
Skills and Qualification:
- BE or equivalent
- Strong programming skills in any object oriented language (Java, C#, C/C++) in desktop, server, or mobile environments.
- Experience with mobile development and familiarity with Android Studio is a plus.
- Experience shipping prior applications is a big plus
Interview Procedure :
There will be a written test, followed by face-to-face interviews. The test and interviews are designed to identify your coding expertise. You may face questions like First ""n"" Prime number sum or First ""n"" Even number sum. If you are a hands-on engineer actively developing software on a daily basis, then you will need very minimal preparation for the interviews."	2-7 years	Saturday Drive - Android Developer	Match																						
Software Developer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
Agile
Asp .Net
Build
c#
Code
.net
Design
development
mobile
product
projects
software
web
technologies
h1b
visa
scrum
agile coach
salesforce
servicenow
guidewire
service now
andriod
ios
mobile developer
sharepoint
Desired Candidate Profile
    Very good communication skills
    Problem-solving attitude
    Ability to establish priorities
    Team work and willingness to listen to others
    Eagerness to learn new ideas, concepts and technologies
Education-
UG: B.Tech/B.E. - Computers, Diploma - Any Specialization, BCA - Computers
PG:Any Postgraduate, M.Tech - Any Specialization, Computers, MCA - Computers"	"The ideal candidate:
Flexible, motivated, able to adapt in a dynamic environment, able to efficiently communicate
with certain customers/other development team members, pro-active in finding new ways for
improvement.
Main responsibilities:
.Net Developer designs, modifies, develops, writes and implements software programming applications and components.
Supports and/or installs software applications and components;
Works from written specifications and pre-establishedguidelines to perform the functions of the job and maintains documentation of process flow.
Skill Requirements:
Utilize established development tools, guidelines and conventions including but
not limited to ASP.NET, SQL Server, HTML, CSS, JavaScript, and C#/VB.NET
Design, code and test new Windows and web software applications
Enhance existing systems by analyzing business objectives, preparing an action
plan and identifying areas for modification and improvement
Maintain existing software systems by identifying and correcting software defects
Investigate and develop skills in new technologies
Create technical specifications and test plans
Qualification:
- Bachelors / Masters in Computer Science , or other related field required.
Experience: 4 Years - 10 Years.
Job Location: USA ( on H1B) Must be Stamped
Qualification: BE/B.Tech, MCA, M.Sc"	5-10 years	Software Developer - Urgent Requirement in United States for Only Stamped H1B Visa Holders	Match																						
iOS Developer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
XCode
Objective C
IOS
Swift
Mobile Development
Software Development
Web Technologies
Consumer Products
Quality Engineering
Communication Skills"	"
Job role: This is a hands-on developer position. The successful candidate has a strong technical ability, loves writing and debugging code, good communication skills, and likes working on consumer products.
Skills and Qualification:
- BE or equivalent
- Strong programming skills in Objective-C or Swift.
- Experience with mobile development and familiarity XCode is a plus.
- Experience shipping prior applications is a big plus."	2-7 years	Saturday Drive - iOS Developer - 27th May 2017 - Pune	Match																						
VP - Engineering - Web/ Mobile	Internet / Ecommerce	IT Software - Mobile	Senior Management	Head/VP/GM-Technology(IT)/CTO	"Keyskills
software product development
People Management
engineering
Product Management
architecture"	"You would be getting involve in end-to-end functions in the organization, design, engineering, People Management and Product Management.
- Responsible for building rich technical products in different platform ( Mobile, Web) .
- As an Engineering Manager you will manage tech roadmap of one of our products/multiple key modules and end to end product development efforts, contribute to software product development strategy.
- You will be a hands-- on manager and will contribute in design, development, architecture and solving complex engineering problems. You will play a key role that will be responsible for running the engineer show
- We are looking for someone to manage the engineering initiatives, which will primarily include bring fresh perspective to our engineering processes, build robust systems, ensuring delivery of product roadmaps, engineering culture, nurturing and helping engineers with these tough problems.
- You should have exp in scaling team size from 0 to 100.
You Will :
- Be partner in the company's growth being involved from concept stage to launch of new products and partnerships.
- You will develop features that solve real consumer problems. You will get to work closely on every part of Portal - Front end, Backend & Analytics while you explore the latest technologies."	15-20 years	VP - Engineering - Web/ Mobile	Match																						
Application Security Engineer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Team Lead/Technical Lead	"Strong understanding of information security, risk and data privacy within the domain of digital commerce including relevant practical experience
Knowledge and technical security experience in cryptography, including several of the following: encryption, hashing, digital signatures, key management, certificates, TLS
Demonstrate a broad awareness of security engineering concepts and practices across all phases of the software development lifecycle
Experienced in mobile security architecture concepts, design and implementation for Android and IOS
Technical experience with Java or similar enterprise programming language, especially related to secure coding best practices
Experience providing security architecture advice for web based network environments and secure communication, including mobile applications, web applications and web services
Demonstrate the ability to articulate and communicate effectively to diverse audiences and properly translate security and risk management terminology into business terms, and recommend alternative solutions to these stakeholders.
Demonstrated experience designing secure multi-domain Internet-facing applications
Demonstrate technical competency in security engineering based on hands-on experience or relevant qualifications
Working knowledge and technical security experience with UNIX, Linux, Solaris, or AIX
Good understanding of how applications are deployed in a 3-tier networked environment
Knowledge of IaaS and virtualization platforms such as Amazon Web Services (AWS) EC2, VMware vCloud Director, VMware vSphere and Google AppEngine, OpenStack or Azure
Experience of continuous delivery/continuous integration processes and procedures including critical security considerations in automated workflows
Strong verbal and written communication skills
Keyskills:
Android
Google App Engine
Java
Web Services
Software Development Life Cycle
IOS
Web Technologies
Continuous Delivery
Mobile Applications
Continuous Integration"	"Provide technical design and architecture advice to internal teams on how to securely develop and build applications and supporting systems
Work closely with developers and evaluate business requests and proposed designs to determine feasibility; work with software development teams to define alternatives and recommend optimal solutions to meet security and regulatory requirements in the design of new/enhanced systems
Leverage security experience and knowledge within the mobile and digital commerce arena to cultivate and maintain effective working relationships with a variety of internal Client stakeholders, including business owners, end-users, customers, project managers, engineers, and senior management
Define security requirements and guidelines to ensure repeatable processes are followed by worldwide teams
Assists in the strategy, standards, and architecture for the security aspects of the SDLC including application, mobile, web service, DevOps, cloud, and CI/CD efforts"	6-10 years	"Application Security Engineer-pune,india"	Match																						
Software Tester & Developer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Other	Software Tester & Developer	"Keyskills
JAVA
Dotnet
PHP
SQL
C
C#
Asp .Net
Android
Mobile Development"	"Hiring IT/CS Freshers
Department: Software Developing & Testing"	0	"Software Testing & Developing Freshers Jobs for 2015, 2016, 2017"	Match																						
Software Engineer ( Web / Mobile )	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Keyskills
Java
Javascript
Bootstrap
CSS3
RWD
Wordpress
.Net
Web Design
HTML5
Angularjs
Android
MySQL"	"Junior Engineers with B.E/B.Tech having experience in building software using Java/Android or JavaScript or Microsoft Technologies are required. The candidate must have good hands on experience either in Front end web technologies like Responsive Web Design using Bootstrap or WordPress , HTML, CSS, Javascript/jQuery, AngularJS etc., or with the Back end technologies like Java or .Net MVC or Javascript (nodejs). Knowledge about REST APIs , Micro services and any database experiences in RDBMS or NoSQL are  added advantages."	0-2 years	Software Engineer ( Web / Mobile )	Match																						
